,Image,Base Generation,Fine-tuned Generation
0,2caab67c-3530-40f9-ab76-19b13612d688.png,"{
  ""category_name"": ""Mantap"",
  ""description"": ""A large, elegant floral arrangement spanning the width of the room, featuring a variety of pink and white flowers. The arrangement is supported by a white fabric drape and is complemented by two chandeliers hanging from the ceiling. The mantap also includes three cream-colored chairs with gold legs and a matching cream-colored sofa. The overall setting is illuminated with blue lighting from the ceiling.""
}<|im_end|>","{'category_name': 'Mantap', 'description': ""Mandap Size- 12' x 10' x 12' (w x h x l)\nFlower ratio - 50% Ar/N\nIncluded - 4 Chandeliers\nExcluded - Platform, Lights, Furniture, and all other Props & Accessories\n*Please Note - Prices are subject to size, flower, fabric, and accessories used.""}<|im_end|>"
1,2b4e358b-a3a2-4c12-8e03-aa9927ad454f.jpg,"{
  ""category_name"": ""Floral Decor"",
  ""description"": ""The floral decor consists of multiple strings of marigold flowers hanging from the ceiling. Each string is made of orange marigold flowers arranged in a circular pattern. The strings are evenly spaced and cover the entire length of the windows. There are also several vases with red flowers placed on a wooden table in front of the windows. The table also holds small bowls and candles. The floral decor is vibrant and adds a festive touch to the room.""
}<|im_end|>","{'category_name': 'L - Backdrop', 'description': 'Flower string of 10ft x 10ft'}<|im_end|>"
2,2b263e16-e76b-4cad-8f26-07cdd3a6c65f.jpg,"{
  ""category_name"": ""Floral Arrangement"",
  ""description"": ""A decorative floral arrangement featuring a gold geometric frame with pink and white flowers. The arrangement includes a gold cylindrical vase and a gold platform. The flowers are arranged in a cascading manner, with pink and white blooms. The gold geometric frame is made of metal and has a modern, geometric design. The arrangement is placed against a concrete wall.""
}<|im_end|>","{'category_name': 'Accent Decor', 'description': 'Flower Arrangement'}<|im_end|>"
3,f1658353-4ab9-458c-a6bc-48f4bb9a3a35.jpg,"{
  ""category_name"": ""Floral Arrangement"",
  ""description"": ""A large, rectangular floral arrangement featuring a variety of red and white flowers. The arrangement is mounted on a white platform with a wooden frame. The flowers are densely packed, creating a lush and vibrant display. The arrangement is set against a natural backdrop of greenery and mountains. The platform is not included in the arrangement.""
}<|im_end|>","{'category_name': 'Entrance Arch Decor', 'description': ""Entrance Arch Size- 8' x 8' (w x h)\nFlower ratio - 50% Ar/N\nIncluded- 1 Arch with Flowers\nExcluded- All other Furniture, Props & Accessories\n*Please Note- Prices are subject to size, flower, fabric, and accessories used.""}<|im_end|>"
4,1edb4fa1-7b88-4d0c-b46e-50976c493584.jpg,"{
  ""category_name"": ""Floral Arch"",
  ""description"": ""A large, colorful floral arch made of various paper flowers in shades of pink, white, yellow, and orange. The arch includes a pink flamingo statue and is adorned with hanging paper flowers. The base of the arch is covered with a pink fabric. The arch is set against a wooden deck and a building with large windows. The arch is approximately 10 feet tall and 8 feet wide. The materials used are paper and fabric. The arch is designed for outdoor events and decorations.""
}<|im_end|>","{'category_name': 'Entrance Arch Decor', 'description': ""Entrance Arch Size- 8' x 8' (w x h)\nFlower ratio - 50% Ar/N\nIncluded- 1 Arch with Standee\nExcluded- All other Furniture, Props & Accessories\n*Please Note- Prices are subject to size, flower, fabric, and accessories used.""}<|im_end|>"
5,1b7b25c4-cac0-4f0a-b1c4-1ca6495121b2.jpg,"{
  ""category_name"": ""Entrance Decoration"",
  ""description"": ""The entrance is decorated with a large arch made of pink fabric and adorned with pink and white flowers. The arch spans the width of the entrance and is supported by two pillars. The floor is covered with a patterned carpet, and there is a platform in the background that is not included in the decoration.""
}<|im_end|>","{'category_name': 'Entrance Arch Decor', 'description': ""Entrance Arch Size- 8' x 8' (w x h)\nFlower ratio - 50% Ar/N\nIncluded- 10 Standees\nExcluded- All other Furniture, Props & Accessories\n*Please Note- Prices are subject to size, flower, fabric, and accessories used.""}<|im_end|>"
6,0f070a69-e265-4eba-a06d-1889cdc20bef.jpg,"{
  ""category_name"": ""Mantap"",
  ""description"": ""A traditional Indian wedding mandap decorated with golden pillars, red and yellow flower garlands, and a large 'LOVE' sign in the center. The pillars are adorned with floral decorations at the base and top. The mandap is set up outdoors with a backdrop of palm trees and a white building. The area is paved with stone tiles, and there are tables and chairs arranged for guests.""
}<|im_end|>","{'category_name': 'Entrance Arch Decor', 'description': ""Entrance Arch Size- 8' x 8' (w x h)\nFlower ratio - 50% Ar/N\nIncluded- 4 Standees\nExcluded- All other Furniture, Props & Accessories\n*Please Note- Prices are subject to size, flower, fabric, and accessories used.""}<|im_end|>"
7,1b8673a7-2fa0-4b92-a13b-ff09a2958001.jpg,"{
  ""category_name"": ""Wedding Arch"",
  ""description"": ""A decorative arch made of purple and white flowers, with hanging crystal beads. The arch is supported by two tall, purple fabric drapes. The arch is set against a backdrop of green foliage and a wooden platform is visible at the base of the arch. The arch is designed for a wedding ceremony.""
}<|im_end|>","{'category_name': 'Arch Decor', 'description': 'Flower Arch with Crystal Strings'}<|im_end|>"
8,2c4a6b82-7661-4200-9c34-514386905ff8.png,"{
  ""category_name"": ""Decorative Arrangement"",
  ""description"": ""A floral arrangement made of red and white petals arranged in a circular pattern within a black, flower-shaped container. The container is placed on a tiled surface. The arrangement does not include any platform or additional decorative elements.""
}<|im_end|>","{'category_name': 'Accent Decor', 'description': 'No description available'}<|im_end|>"
9,1e8a3447-4843-4e58-b837-52525ce14dae.jpg,"{
  ""category_name"": ""Mantap"",
  ""description"": ""A large, rectangular, handcrafted wall hanging made of green and yellow fabric. The wall hanging features a pattern of small, white candles or candle holders. The dimensions are approximately 120 cm x 180 cm. The wall hanging is displayed on a white cushioned bench with wooden legs. The bench is placed on a green artificial grass surface. There are three wooden stools with woven tops and carved legs, positioned symmetrically around the bench. The stools are approximately 40 cm in height. The background is filled with lush green foliage and purple flowers, creating a natural and serene atmosphere.""
}<|im_end|>","{'category_name': 'Backdrop', 'description': 'No description available'}<|im_end|>"
